Ticker,Date,Open,High,Low,Close,Volume
QAN,20130102,1.495,1.52,1.485,1.51,4560047
QAN,20130103,1.52,1.57,1.515,1.55,9394078
QAN,20130104,1.57,1.57,1.535,1.55,5347145
QAN,20130107,1.57,1.575,1.555,1.575,6741605
QAN,20130108,1.585,1.59,1.555,1.565,7082948
QAN,20130109,1.58,1.61,1.555,1.56,10999360
QAN,20130110,1.57,1.57,1.54,1.54,6091397
QAN,20130111,1.555,1.557,1.52,1.53,4391115
QAN,20130114,1.545,1.55,1.525,1.525,4766763
QAN,20130115,1.525,1.555,1.525,1.53,5006729
QAN,20130116,1.53,1.55,1.515,1.54,6081933
QAN,20130117,1.56,1.57,1.52,1.52,8050223
QAN,20130118,1.52,1.527,1.495,1.52,6156815
QAN,20130121,1.505,1.535,1.5,1.53,4298248
QAN,20130122,1.53,1.545,1.52,1.53,28166093
QAN,20130123,1.52,1.535,1.515,1.52,3057730
QAN,20130124,1.51,1.525,1.505,1.525,4946092
QAN,20130125,1.525,1.53,1.51,1.525,4939762
QAN,20130129,1.53,1.53,1.505,1.515,6519405
QAN,20130130,1.515,1.515,1.465,1.5,9119675
QAN,20130131,1.515,1.53,1.505,1.53,8348216
QAN,20130201,1.52,1.555,1.52,1.54,5429810
QAN,20130204,1.535,1.547,1.525,1.54,5292793
QAN,20130205,1.52,1.54,1.52,1.535,5232596
QAN,20130206,1.535,1.55,1.535,1.545,5709585
QAN,20130207,1.55,1.58,1.537,1.565,5399302
QAN,20130208,1.565,1.585,1.555,1.585,3318926
QAN,20130211,1.58,1.59,1.57,1.57,3807971
QAN,20130212,1.585,1.59,1.57,1.58,6112194
QAN,20130213,1.58,1.59,1.575,1.58,1712106
QAN,20130214,1.58,1.63,1.58,1.625,6399639
QAN,20130215,1.63,1.635,1.59,1.625,4268674
QAN,20130218,1.625,1.645,1.615,1.625,5315191
QAN,20130219,1.625,1.64,1.6,1.63,6630259
QAN,20130220,1.63,1.645,1.615,1.615,3840830
QAN,20130221,1.65,1.712,1.64,1.66,17461610
QAN,20130222,1.655,1.66,1.605,1.635,14065214
QAN,20130225,1.63,1.645,1.617,1.645,7946792
QAN,20130226,1.635,1.635,1.592,1.61,5210330
QAN,20130227,1.61,1.62,1.56,1.57,7561077
QAN,20130228,1.59,1.645,1.575,1.645,13622511
QAN,20130301,1.62,1.635,1.615,1.62,2628022
QAN,20130304,1.615,1.625,1.595,1.595,5787099
QAN,20130305,1.62,1.63,1.58,1.59,8777507
QAN,20130306,1.6,1.612,1.58,1.61,15453223
QAN,20130307,1.615,1.645,1.615,1.64,7788105
QAN,20130308,1.645,1.68,1.635,1.675,10887936
QAN,20130311,1.66,1.73,1.66,1.72,10734964
QAN,20130312,1.72,1.735,1.69,1.71,8414503
QAN,20130313,1.72,1.76,1.69,1.745,20050480
QAN,20130314,1.74,1.75,1.71,1.715,16403459
QAN,20130315,1.715,1.735,1.71,1.735,12512096
QAN,20130318,1.72,1.73,1.692,1.71,7131467
QAN,20130319,1.735,1.735,1.69,1.7,8917864
QAN,20130320,1.7,1.725,1.675,1.725,18544685
QAN,20130321,1.735,1.75,1.68,1.69,24691996
QAN,20130322,1.695,1.71,1.682,1.7,14872478
